From Sched Date: 06/26/23   To Sched Date: 06/27/23   From Truck:      To Truck: zzzzzzzz   Whs-Code: o   Sort By Load: no   SKU Group: Cabinets   Order Status: To Do Finish In Scan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sched Date,Attribute,Truck,Load,Cust#,Order,Line,Item,QT,DP,MR,DA,FI,FO,NH,RW,PL,XS,XR,LD,D2,WI,WO,SI,SO,AS,QI,QO,OrigOrd#,ProdLine,OrderCode,ShipDate,Deliv-Window,Species,Color,InvHold,ShipEntry,ProgressiveWO,FINLINE,PA FF Cart#,PA FF Slot#,KIT Cab,Job/Designer,MODS,,,,,,,,,,,,,,
6/27/2023,Base,382208,10,4672,3152960,8,B36B/,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SV,REG,6/30/2023,07/03/23-07/07/23,MDF,WHITE ICING CLASSIC,no,?,,,,, ,DWT_71/BRENT,SV,MDF,LC,F,WIC,CLSC,,,,,,,,,
6/27/2023,SSusans,382208,10,4672,3152960,9,SCB36/,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SV,REG,6/30/2023,07/03/23-07/07/23,MDF,WHITE ICING CLASSIC,no,?,,,,, ,DWT_71/BRENT,SV,MDF,LC,F,WIC,CLSC,R,,,,,,,,
6/27/2023,Wall,382208,10,4672,3152960,10,W2739B/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SV,REG,6/30/2023,07/03/23-07/07/23,MDF,WHITE ICING CLASSIC,no,?,,,,, ,DWT_71/BRENT,SV,MDF,LC,F,WIC,CLSC,,,,,,,,,
6/27/2023,Wall,382208,10,4672,3152960,11,W3012B/,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SV,REG,6/30/2023,07/03/23-07/07/23,MDF,WHITE ICING CLASSIC,no,?,,,,, ,DWT_71/BRENT,SV,MDF,LC,F,WIC,CLSC,,,,,,,,,
6/27/2023,Base,382208,10,4672,3152960,12,3DB27/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SV,REG,6/30/2023,07/03/23-07/07/23,MDF,WHITE ICING CLASSIC,no,?,,,,, ,DWT_71/BRENT,SV,MDF,LC,F,WIC,CLSC,,,,,,,,,
6/27/2023,Wall,382208,10,4672,3152960,15,W4518/,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SV,REG,6/30/2023,07/03/23-07/07/23,MDF,WHITE ICING CLASSIC,no,?,,,,, ,DWT_71/BRENT,SV,MDF,LC,F,WIC,CLSC,,,,,,,,,
6/27/2023,Base,382208,10,4672,3152960,18,3DB15/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SV,REG,6/30/2023,07/03/23-07/07/23,MPL,BISCOTTI,no,?,,,,, ,DWT_71/BRENT,SV,MPL,LC,F,BSC,,,,,,,,,,
6/27/2023,Tall,382209,50,L2268,3132439,27,24UT3684B-4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,t2,REG,6/29/2023,07/03/23-07/07/23,ald,CAPPUCCINO,no,?,,,,, ,ALEIXO/RACHEL PAS,t2,ald,da,f,cap,h3,LR,MH82,EPBB01.50,plybox,FFETL,2METR,,,
6/27/2023,Base,382209,50,L2268,3132439,34,3DB24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,t2,REG,6/29/2023,07/03/23-07/07/23,ald,DOCKSIDE,no,?,,,,, ,ALEIXO/RACHEL PAS,t2,ald,da,f,h3,DKS,plybox,,,,,,,,
6/27/2023,Base,382209,50,L2268,3132439,35,SB30B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,t2,REG,6/29/2023,07/03/23-07/07/23,ald,DOCKSIDE,no,?,,,,, ,ALEIXO/RACHEL PAS,t2,ald,da,f,h3,DKS,plybox,WER,,,,,,,
6/27/2023,Wall,382209,50,L2268,3132439,36,W2721B,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,t2,REG,6/29/2023,07/03/23-07/07/23,ald,DOCKSIDE,no,?,,,,, ,ALEIXO/RACHEL PAS,t2,ald,da,f,h3,DKS,plybox,PCFBM,,,,,,,
6/27/2023,Wall,382209,50,L2268,3132439,37,W3021B,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,t2,REG,6/29/2023,07/03/23-07/07/23,ald,DOCKSIDE,no,?,,,,, ,ALEIXO/RACHEL PAS,t2,ald,da,f,h3,DKS,plybox,PCFBM,MW28.5,,,,,,
6/27/2023,Tall,382209,50,L2268,3132439,38,24UCS2784B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,t2,REG,6/29/2023,07/03/23-07/07/23,ald,DOCKSIDE,no,?,,,,, ,ALEIXO/RACHEL PAS,t2,ald,da,f,h3,DKS,plybox,FFETR,,,,,,,
6/27/2023,Base,382209,20,W1017,3139131,6,BFH18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D2,REG,6/29/2023,07/03/23-07/07/23,MPL,EUCALYPTUS CLASSIC,no,?,,,,, ,ANNE_McCAR/108919,D2,MPL,PO,F,ECA,H3,L,CLSC,MW17.50,MD12.50,FTSF,FFEB,,,
6/27/2023,Base,382209,30,4541,3140064,22,B18WB/,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SV,REG,6/29/2023,07/03/23-07/07/23,MDF,EARL GREY CLASSIC,no,?,,,,, ,R7017_799C/108407,SV,MDF,LI,H,erg,clsc,WER,,,,,,,,
6/27/2023,Tall,382209,30,4541,3140064,25,27OCC3390B/,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SV,REG,6/29/2023,07/03/23-07/07/23,MDF,EARL GREY CLASSIC,no,?,,,,, ,R7017_799C/108407,SV,MDF,LI,H,erg,LR,clsc,OCM,,,,,,,
6/27/2023,Base,382209,10,72067SP,3142413,1,12BFH39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YZ,ds,6/29/2023,07/03/23-07/07/23,MPL,EUCALYPTUS CLASSIC,no,?,,,,, ,SH60LY0123/MELANIE FL,YZ,MPL,22T,F,H3,ECA,CLSC,,,,,,,,
6/27/2023,Base,382209,10,72067SP,3142413,2,12BFH36B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YZ,ds,6/29/2023,07/03/23-07/07/23,MPL,EUCALYPTUS CLASSIC,no,?,,,,, ,SH60LY0123/MELANIE FL,YZ,MPL,22T,F,H3,ECA,CLSC,,,,,,,,
6/27/2023,Base,382209,10,72067SP,3142413,3,4DB18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YZ,ds,6/29/2023,07/03/23-07/07/23,MPL,EUCALYPTUS CLASSIC,no,?,,,,, ,SH60LY0123/MELANIE FL,YZ,MPL,22T,F,H3,ECA,CLSC,,,,,,,,
